"listing_clustered$cluster"
"1"	5
"2"	11
"3"	11
"4"	15
"5"	5
"6"	15
"7"	11
"8"	5
"9"	11
"10"	11
"11"	20
"12"	11
"13"	15
"14"	20
"15"	5
"16"	11
"17"	5
"18"	11
"19"	15
"20"	5
"21"	11
"22"	5
"23"	11
"24"	20
"25"	15
"26"	11
"27"	15
"28"	15
"29"	15
"30"	11
"31"	15
"32"	5
"33"	5
"34"	5
"35"	20
"36"	11
"37"	11
"38"	11
"39"	11
"40"	11
"41"	15
"42"	11
"43"	5
"44"	15
"45"	15
"46"	15
"47"	5
"48"	11
"49"	15
"50"	15
"51"	11
"52"	11
"53"	11
"54"	15
"55"	20
"56"	11
"57"	11
"58"	15
"59"	5
"60"	11
"61"	15
"62"	11
"63"	20
"64"	15
"65"	11
"66"	11
"67"	15
"68"	15
"69"	11
"70"	5
"71"	4
"72"	11
"73"	11
"74"	15
"75"	11
"76"	15
"77"	15
"78"	11
"79"	11
"80"	11
"81"	20
"82"	20
"83"	11
"84"	11
"85"	20
"86"	11
"87"	11
"88"	11
"89"	2
"90"	15
"91"	11
"92"	11
"93"	5
"94"	5
"95"	5
"96"	11
"97"	15
"98"	11
"99"	5
"100"	20
"101"	15
"102"	11
"103"	11
"104"	1
"105"	11
"106"	15
"107"	11
"108"	15
"109"	11
"110"	11
"111"	11
"112"	11
"113"	20
"114"	17
"115"	11
"116"	15
"117"	11
"118"	15
"119"	15
"120"	11
"121"	15
"122"	11
"123"	15
"124"	11
"125"	11
"126"	15
"127"	11
"128"	15
"129"	15
"130"	11
"131"	11
"132"	11
"133"	11
"134"	11
"135"	20
"136"	15
"137"	20
"138"	11
"139"	17
"140"	11
"141"	11
"142"	11
"143"	11
"144"	11
"145"	15
"146"	11
"147"	15
"148"	15
"149"	11
"150"	15
"151"	15
"152"	11
"153"	15
"154"	11
"155"	11
"156"	15
"157"	15
"158"	5
"159"	4
"160"	5
"161"	5
"162"	11
"163"	15
"164"	15
"165"	11
"166"	20
"167"	11
"168"	11
"169"	11
"170"	15
"171"	15
"172"	11
"173"	15
"174"	15
"175"	15
"176"	15
"177"	5
"178"	11
"179"	11
"180"	15
"181"	5
"182"	11
"183"	15
"184"	15
"185"	11
"186"	11
"187"	11
"188"	15
"189"	11
"190"	5
"191"	20
"192"	5
"193"	15
"194"	20
"195"	15
"196"	15
"197"	5
"198"	11
"199"	15
"200"	5
"201"	11
"202"	11
"203"	11
"204"	15
"205"	5
"206"	5
"207"	11
"208"	15
"209"	15
"210"	15
"211"	4
"212"	11
"213"	15
