id	title	channel_id	tags
72	西安市 公安局 副局长 交警支队 支队长 刘 军 一行 调研 我校 智能 交通 及 自动驾驶 研发 情况 	4	学校要闻
73	2018年 陕西 高校 教学 工作会议 召开 	4	学校要闻
74	爱尔兰 都柏林 大学 副校长 paul fanning 教授 一行 应邀 访问 我校 	4	学校要闻
75	扶贫 支教 工作 领导小组 工作会议 召开 部署 年度 扶贫 工作 	4	学校要闻
76	陈 峰 校长 一行 赴 国家 留学 基金委 教育部 交通 运输部 汇报工作 	4	学校要闻
77	共青团 长安 大学 委员会 三届 二次 全体 扩大 会议 召开 	4	学校要闻
78	本学期 第一次 研究生 工作 例会 召开 	4	学校要闻
79	国际化 推进 工作会议 筹备会 召开 	4	学校要闻
80	陕西省 高层次 人才 发展 促进会 会员大会 暨 成立 大 会在 西安 召开 	4	学校要闻
81	长安 大学 2018 年高 水平 艺术团 招生 考试 圆满结束 	4	学校要闻
82	我校 举行 2018年 春季 义务 植树 活动 	4	学校要闻
83	我校 蒋 玮 李 培 月 获 霍英东 教育 基金 资助 	4	学校要闻
84	我校 王 春 生 裴 建中 入选 第三批 国家 万人 计划 	4	学校要闻
85	2018年 后勤工作 研讨会 召开 	4	学校要闻
86	长安 大学 竞价 采购网 成功 上线 运行 	4	学校要闻
87	纪委 全委会 召开 学习 传达 有关 会议精神 	4	学校要闻
88	我校 9项 成果 获 2017年 陕西省 高等教育 教学 成果奖 	4	学校要闻
89	我校 新增 28项 国 家产 学 合作 协同 育人 项目 	4	学校要闻
90	校领导 一行 赴 陕西省 土地 工程 建设 集团 调研 	4	学校要闻
91	2018年 实验室 工作 研讨会 召开 	4	学校要闻
92	我校 韩 秀 华 副教授 在 人民日报 理论 版 发表文章 	4	学校要闻
93	2018年 学生 工作 第二次 例会 召开 	4	学校要闻
94	学校 召开 校园 规划 方案 论证会 	4	学校要闻
95	学校 召开 2017年 校领导 班子 和 班子成员 年度 考核 暨 领导班子 民主生活会 通报 大会 	4	学校要闻
96	我校 荣获 教育部 国防教育 特色学校 	4	学校要闻
97	学校 检查 新学期 开学 各项工作 	4	学校要闻
98	我校 李 培 月 教授 入选 第三批 国家 万人 计划 青年 拔尖 人才 	4	学校要闻
99	学校 召开 处级 领导干部 培训 会议 安排 部署 2018年 重点工作 	4	学校要闻
100	2018年 人事工作 研讨会 召开 	4	学校要闻
101	学校 召开 2018年 工作 研讨会 	4	学校要闻
102	社区 党支部 组织 党员 赴 梁家 河 村 参观 学习 	4	综合新闻
103	电影 后来 的 我们 点 映 活动 在 我校 举行 	4	综合新闻
104	长安 大 学报 16件 作品 获 陕西 高校 新闻奖 	4	综合新闻
105	党校 举行 长安 大学 2017年 学生党员 骨干 培训班 结业典礼 	4	综合新闻
106	北京 工商大学 学生 资助 中心主任 许 峰 一行 来 我校 交流 	4	综合新闻
107	西北 政法大学 研究生 工作部 研究生院 来 校 交流 	4	综合新闻
108	党校 举行 渭水 校区 2018年 春季 发展对象 培训班 开学典礼 	4	综合新闻
109	党校 举行 校本部 2018年 春季 研究生 发展对象 暨 入党 积极分子 培训班 开学典礼 	4	综合新闻
110	南京 航空航天 大学 宣传部 来 校 调研 	4	综合新闻
111	研 途 有 梦 博 路 起航 第二届 博士生 讲坛 举办 	4	综合新闻
112	继续 教育学院 举行 山东省 济宁市 交警 创新 技术 应用 培训班 开班 典礼 	4	综合新闻
113	统战部 组织 开展 不忘 初心 携手前进 主题 活动 	4	综合新闻
114	青马 学校 举行 继承 革命先烈 遗志 争做 新时代 新青年 主题 教育 活动 	4	综合新闻
115	2018年 第一期 研究生 骨干 培训 大会 举办 	4	综合新闻
116	全国高校 第二届 国防教育 特色 校 研讨会 召开 	4	综合新闻
117	2018年 第 2次 研究生 工作 例会 召开 	4	综合新闻
118	第 十 七届 音 渭 有 你 乐 满 长安 校园 之春 歌手 大赛 总决赛 圆满 落幕 	4	综合新闻
119	我校 榜样 力量 青春 领航 青年 校友 故事 分享 会 举办 	4	综合新闻
120	学工部 联合 中国银行 开展 金融 知识 进校园 活动 	4	综合新闻
121	哈尔滨 工业大学 学生 工作部 处 副 部 处 长 杨 雪 一行 来 我校 交流 	4	综合新闻
122	第十届 创 青春 大学生 创业 大赛 决赛 举行 	4	综合新闻
123	共青 团干部 业务培训 专题讲座 举行 	4	综合新闻
124	校团委 荣获 2017 年度 共青团 陕西 省委 多项 荣誉 表彰 	4	综合新闻
125	资产 经营 公司 召开 企业 负责人 支部书记 会议 安排 2018年 党政 重点工作 	4	综合新闻
126	图书馆 向 眉县 图书馆 捐赠 期刊 活动 结束 	4	综合新闻
127	校 工会 召开 2017年 协会 工作总结 会议 	4	综合新闻
128	长安 大学 青马 学校 举办 激扬 青春 志 圆梦 新时代 主题 教育 实践 活动 	4	综合新闻
129	我校 组织 师生 党员 集体 观看 电影 厉 害了 我 的 国 	4	综合新闻
130	2018年 庆 三八 女 教职工 专题 培训 会 举行 	4	综合新闻
131	第三届 工会 经费 审查委员会 第四次 会议 召开 	4	综合新闻
132	陕西省 教科文卫体 工会 举办 2018年 三八 国际劳动妇女节 运动会 	4	综合新闻
133	学生 就业 处 及 各院 系 集中 开展 就业 市场 拓展 工作 	4	综合新闻
134	我校 在 2017 年度 陕西 慈善 服务 先进集体 和 个人 评选活动 中 获得 表彰 	4	综合新闻
135	我校 首届 国际 教育学院 杯 留学生 球类 比赛 举办 	4	综合新闻
136	长安 大学 海南省 交通运输 行业 十三五 期 五个一工程 管理人才 第三期 培训班 圆满结束 	4	综合新闻
137	继续 教育学院 举行 广州 地区 交通 战备 业务 培训班 典礼 	4	综合新闻
138	我校 辅导员 在 陕西省 第四届 高校 优秀 辅导员 推选 展示 工作中 取得 佳绩 	4	综合新闻
